California Cities,Population,Violent crime,Property crime,Burglary,Violent Crime,Property Crime,Burglary Crime,All Crime Rank,Total Crimes,Violent Crime,Property,Burglary,Crime Rate
,2019,Totals,Totals,Totals,Rank,Rank,Rank,Rank,Per 1000,Per 1000,Per 1000,Per 1000,Per day
Oakland,"434,036","5,520","27,868","2,599",3,1,24,1,82.91,12.72,64.21,5.99,98.59
Vallejo,"122,657","1,037","4,941","2,888",10,16,1,2,72.28,8.45,40.28,23.55,24.29
San Francisco,"886,007","5,933","48,780","4,644",23,2,43,3,66.99,6.7,55.06,5.24,162.62
West Hollywood,"37,173",294,"1,898",215,14,3,27,4,64.75,7.91,51.06,5.78,6.59
San Bernardino,"216,715","2,858","9,081","2,029",2,13,7,5,64.45,13.19,41.9,9.36,38.27
Eureka,"26,973",195,"1,350",187,20,6,14,6,64.21,7.23,50.05,6.93,4.75
Barstow,"24,121",274,986,285,5,15,2,7,64.05,11.36,40.88,11.82,4.23
El Cerrito,"25,857",152,"1,300",166,42,5,16,8,62.57,5.88,50.28,6.42,4.43
Berkeley,"122,788",618,"6,256",771,55,4,20,9,62.26,5.03,50.95,6.28,20.95
Stockton,"313,604","4,380","12,367","2,209",1,18,13,10,60.45,13.97,39.44,7.04,51.93
Santa Monica,"91,621",664,"3,964",577,19,10,18,11,56.81,7.25,43.27,6.3,14.26
Santa Cruz,"65,263",389,"2,932",348,39,8,37,12,56.22,5.96,44.93,5.33,10.05
Palm Springs,"48,846",267,"1,966",502,49,17,5,13,55.99,5.47,40.25,10.28,7.49
Bakersfield,"388,080","1,766","16,074","3,888",70,14,6,14,55.99,4.55,41.42,10.02,59.53
San Leandro,"90,297",454,"4,105",375,56,7,79,15,54.64,5.03,45.46,4.15,13.52
Beverly Hills,"34,211",103,"1,499",257,139,9,12,16,54.34,3.01,43.82,7.51,5.09
Montclair,"39,787",234,"1,469",355,41,21,8,17,51.73,5.88,36.92,8.92,5.64
Richmond,"110,988","1,034","4,188",469,6,20,75,18,51.28,9.32,37.73,4.23,15.59
Culver City,"39,252",182,"1,647",172,67,12,72,19,50.98,4.64,41.96,4.38,5.48
Pleasant Hill,"35,125",88,"1,484",112,169,11,147,20,47.94,2.51,42.25,3.19,4.61
Modesto,"216,542","1,758","7,183","1,149",11,31,39,21,46.6,8.12,33.17,5.31,27.64
Atwater,"29,632",206,"1,031",140,21,26,62,22,46.47,6.95,34.79,4.72,3.77
Burlingame,"30,677",74,"1,185",162,177,19,41,23,46.32,2.41,38.63,5.28,3.89
San Luis Obispo,"47,735",192,"1,738",277,87,22,26,24,46.23,4.02,36.41,5.8,6.05
Hemet,"86,082",343,"2,877",757,91,30,9,25,46.2,3.98,33.42,8.79,10.9
Sacramento,"513,934","3,223","16,354","2,993",30,39,25,26,43.92,6.27,31.82,5.82,61.84
Palm Desert,"53,776",136,"1,848",338,166,28,19,27,43.18,2.53,34.36,6.29,6.36
Central Marin,"34,793",32,"1,094",360,271,41,3,28,42.71,0.92,31.44,10.35,4.07
Turlock,"74,120",426,"2,323",402,45,43,35,29,42.51,5.75,31.34,5.42,8.63
Desert Hot Springs,"29,107",255,680,301,8,97,4,30,42.46,8.76,23.36,10.34,3.39
Concord,"130,615",541,"4,560",434,84,25,137,31,42.38,4.14,34.91,3.32,15.16
San Jacinto,"49,452",108,"1,637",334,184,32,15,32,42.04,2.18,33.1,6.75,5.7
Monterey,"28,337",78,975,127,153,27,70,33,41.64,2.75,34.41,4.48,3.23
San Pablo,"31,336",194,"1,009",101,31,37,144,34,41.61,6.19,32.2,3.22,3.57
Walnut Creek,"70,546",120,"2,496",307,219,24,73,35,41.43,1.7,35.38,4.35,8.01
Albany,"20,083",40,685,105,200,29,44,36,41.33,1.99,34.11,5.23,2.27
Cerritos,"50,642",127,"1,634",314,168,36,22,37,40.97,2.51,32.27,6.2,5.68
Santa Clara,"131,173",214,"4,748",363,226,23,186,38,40.6,1.63,36.2,2.77,14.59
Rialto,"103,965",595,"3,149",403,46,44,90,39,39.89,5.72,30.29,3.88,11.36
Costa Mesa,"114,047",312,"3,739",450,154,34,85,40,39.47,2.74,32.78,3.95,12.33
South Gate,"94,445",622,"2,754",351,24,50,102,41,39.46,6.59,29.16,3.72,10.21
Compton,"96,638","1,104","2,346",334,4,84,124,42,39.16,11.42,24.28,3.46,10.37
Merced,"83,854",540,"2,342",396,27,59,63,43,39.09,6.44,27.93,4.72,8.98
Pomona,"152,776",940,"4,208",816,32,61,36,44,39.04,6.15,27.54,5.34,16.34
Huntington Park,"58,181",458,"1,595",214,15,62,106,45,38.96,7.87,27.41,3.68,6.21
Visalia,"134,961",586,"3,900",747,77,52,34,46,38.77,4.34,28.9,5.53,14.34
Campbell,"42,697",89,"1,357",209,193,40,56,47,38.76,2.08,31.78,4.9,4.53
Fairfield,"118,383",442,"3,782",359,101,38,163,48,38.71,3.73,31.95,3.03,12.56
Antioch,"112,641",648,"3,199",511,44,58,68,49,38.69,5.75,28.4,4.54,11.94
Riverside,"333,260","1,686","9,790","1,302",53,48,89,50,38.34,5.06,29.38,3.91,35.01
Brea,"44,155",72,"1,450",169,227,33,95,51,38.3,1.63,32.84,3.83,4.63
West Sacramento,"54,372",212,"1,603",236,94,47,74,52,37.72,3.9,29.48,4.34,5.62
San Rafael,"58,819",230,"1,686",299,92,55,50,53,37.66,3.91,28.66,5.08,6.07
Alameda,"78,907",162,"2,579",218,195,35,187,54,37.5,2.05,32.68,2.76,8.11
Redlands,"71,941",257,"2,108",330,110,49,66,55,37.46,3.57,29.3,4.59,7.38
Colton,"55,059",215,"1,517",317,93,60,28,56,37.21,3.9,27.55,5.76,5.61
Westminster,"91,086",259,"2,611",511,148,54,32,57,37.12,2.84,28.67,5.61,9.26
Lompoc,"42,818",291,"1,057",238,22,78,33,58,37.04,6.8,24.69,5.56,4.35
Davis,"69,767",107,"2,190",274,236,42,88,59,36.85,1.53,31.39,3.93,7.04
Hayward,"161,588",552,"4,886",448,122,45,183,60,36.43,3.42,30.24,2.77,16.13
Selma,"24,983",85,605,204,123,85,10,61,35.78,3.4,24.22,8.17,2.45
Glendora,"52,211",155,"1,501",187,141,53,113,62,35.3,2.97,28.75,3.58,5.05
South El Monte,"20,852",102,500,132,59,89,17,63,35.2,4.89,23.98,6.33,2.01
El Centro,"44,303",143,"1,184",228,130,64,46,64,35.1,3.23,26.73,5.15,4.26
Mountain View,"84,599",165,"2,463",321,202,51,97,65,34.86,1.95,29.11,3.79,8.08
Moreno Valley,"210,979",847,"5,534",966,89,69,67,66,34.82,4.01,26.23,4.58,20.13
Los Angeles,"4,015,546","29,400","95,704","13,809",16,91,127,67,34.59,7.32,23.83,3.44,380.58
Lancaster,"159,335","1,359","3,346",792,9,138,55,68,34.5,8.53,21,4.97,15.06
Lake Elsinore,"70,262",173,"2,005",233,173,57,139,69,34.31,2.46,28.54,3.32,6.61
Arvin,"21,811",196,437,115,7,155,42,70,34.29,8.99,20.04,5.27,2.05
Yuba City,"67,164",241,"1,823",230,109,63,129,71,34.16,3.59,27.14,3.42,6.28
Newark,"48,945",85,"1,399",187,217,56,96,72,34.14,1.74,28.58,3.82,4.58
Shafter,"20,456",53,513,127,163,75,21,73,33.88,2.59,25.08,6.21,1.9
Long Beach,"467,974","2,369","11,297","2,185",52,88,64,74,33.87,5.06,24.14,4.67,43.43
Ventura,"111,596",458,"2,969",353,86,66,151,75,33.87,4.1,26.6,3.16,10.36
Chico,"95,826",557,"2,406",272,43,74,179,76,33.76,5.81,25.11,2.84,8.86
Montebello,"62,650",178,"1,448",480,149,99,11,77,33.62,2.84,23.11,7.66,5.77
